,week,total_sales,const,t,predictions_sales
0,2017-03-05,77507.65,1,1,77913.7758655464
1,2017-03-12,94793.40000000001,1,2,80158.86381665408
2,2017-03-19,85433.90000000011,1,3,82403.95176776176
3,2017-03-26,82271.3300000001,1,4,84649.03971886943
4,2017-04-02,94835.29000000001,1,5,86894.12766997711
5,2017-04-09,62099.90000000017,1,6,89139.21562108479
6,2017-04-16,82176.98999999996,1,7,91384.30357219248
7,2017-04-23,93211.3199999999,1,8,93629.39152330016
8,2017-04-30,92173.61999999991,1,9,95874.47947440784
9,2017-05-07,114367.04999999968,1,10,98119.56742551552
10,2017-05-14,118945.66999999946,1,11,100364.6553766232
11,2017-05-21,124435.62999999945,1,12,102609.74332773087
12,2017-05-28,111590.2399999997,1,13,104854.83127883855
13,2017-06-04,107792.76999999968,1,14,107099.91922994623
14,2017-06-11,101633.11999999994,1,15,109345.00718105392
15,2017-06-18,88130.73999999993,1,16,111590.0951321616
16,2017-06-25,99682.43999999971,1,17,113835.18308326928
17,2017-07-02,108455.86999999978,1,18,116080.27103437696
18,2017-07-09,109149.18999999952,1,19,118325.35898548464
19,2017-07-16,123604.7599999994,1,20,120570.44693659231
20,2017-07-23,112876.3099999998,1,21,122815.53488769999
21,2017-07-30,119307.5899999996,1,22,125060.62283880767
22,2017-08-06,131303.32999999935,1,23,127305.71078991535
23,2017-08-13,127101.84999999945,1,24,129550.79874102303
24,2017-08-20,103309.6299999996,1,25,131795.8866921307
25,2017-08-27,167657.92999999845,1,26,134040.97464323838
26,2017-09-03,142766.159999999,1,27,136286.06259434606
27,2017-09-10,156519.42999999877,1,28,138531.15054545374
28,2017-09-17,136342.42999999953,1,29,140776.23849656142
29,2017-09-24,139990.40999999933,1,30,143021.32644766913
30,2017-10-01,145940.48999999903,1,31,145266.41439877677
31,2017-10-08,151461.08999999907,1,32,147511.50234988448
32,2017-10-15,162106.4599999984,1,33,149756.59030099213
33,2017-10-22,139588.72999999946,1,34,152001.67825209984
34,2017-10-29,143834.6299999994,1,35,154246.7662032075
35,2017-11-05,152667.00999999855,1,36,156491.8541543152
36,2017-11-12,178250.3699999979,1,37,158736.94210542284
37,2017-11-19,383122.31999999995,1,38,160982.03005653055
38,2017-11-26,282627.93999999657,1,39,163227.11800763823
39,2017-12-03,225422.97999999666,1,40,165472.2059587459
40,2017-12-10,192793.6399999976,1,41,167717.2939098536
41,2017-12-17,140692.38999999934,1,42,169962.38186096126
42,2017-12-24,97279.52999999991,1,43,172207.46981206894
43,2017-12-31,161264.53999999867,1,44,174452.55776317662
